Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Elevation: Ascended(m),Elevation: Maximum(m),Elevation: Minimum(m),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Weather: Humidity(%),Weather: Temperature(degC)
2567-12-01 16:46:24 - 2567-12-01 17:09:57,244.051,Running,4.550,1409.202,16.420,6.787,3.749,0.000,0.048,0.731,0.221,0.000,149.629,170.000,11.733,,
2567-12-01 17:17:26 - 2567-12-01 17:31:20,189.686,Running,3.513,827.362,2.660,5.268,3.904,0.000,0.000,0.018,0.145,0.837,180.681,190.000,15.096,,
2567-12-01 17:41:51 - 2567-12-01 17:55:47,188.521,Running,3.520,834.346,5.530,5.208,3.579,0.000,0.000,0.024,0.048,0.928,185.337,195.000,15.021,,
2567-12-01 18:00:56 - 2567-12-01 18:05:25,41.889,Running,0.649,269.028,,6.513,3.659,0.000,0.000,0.271,0.729,0.000,156.729,164.000,11.065,,
2567-12-02 16:23:27 - 2567-12-02 16:58:19,302.556,Running,5.007,2037.079,31.330,7.858,3.563,0.017,0.816,0.167,0.000,0.000,130.550,143.000,9.873,,
2567-12-03 16:36:30 - 2567-12-03 17:03:39,267.599,Running,5.017,1628.796,2.250,4.198,2.911,0.000,0.087,0.746,0.058,0.109,150.158,182.000,11.202,,
2567-12-03 17:17:10 - 2567-12-03 17:24:35,109.521,Running,2.012,438.909,,4.093,3.082,0.000,0.000,0.023,0.057,0.920,182.898,195.000,16.293,,
2567-12-03 17:31:57 - 2567-12-03 17:39:32,108.948,Running,2.033,448.227,2.440,4.156,2.986,0.000,0.000,0.011,0.034,0.955,186.528,193.000,16.030,,
2567-12-03 17:46:06 - 2567-12-03 17:53:43,109.746,Running,2.017,454.895,5.820,4.062,2.872,0.000,0.000,0.022,0.066,0.912,184.132,193.000,16.032,,
2567-12-03 18:04:52 - 2567-12-03 18:20:31,218.163,Running,4.012,928.601,4.370,4.188,2.891,0.000,0.000,0.022,0.028,0.950,187.736,196.000,15.446,,
2567-12-05 07:25:48 - 2567-12-05 07:59:57,293.548,Running,5.020,2047.274,2.530,6.860,3.644,0.012,0.956,0.032,0.000,0.000,127.528,139.000,9.940,,
2567-12-05 16:57:40 - 2567-12-05 17:07:58,108.342,Running,2.032,616.426,4.460,5.186,3.745,0.000,0.000,0.991,0.009,0.000,150.304,156.000,11.580,,
2567-12-05 17:12:10 - 2567-12-05 18:15:21,729.281,Running,13.016,3791.748,5.210,5.284,3.697,0.000,0.000,0.125,0.875,0.000,163.629,172.000,12.662,,
2567-12-06 16:23:51 - 2567-12-06 17:23:42,557.056,Running,10.010,3591.585,25.940,5.274,3.677,0.000,0.055,0.945,0.000,0.000,144.189,153.000,10.609,,
2567-12-07 17:02:46 - 2567-12-07 17:36:31,334.784,Running,5.850,2025.618,5.210,5.113,3.741,0.000,0.097,0.903,0.000,0.000,144.955,155.000,11.241,,
2567-12-09 16:34:19 - 2567-12-09 17:00:32,286.937,Running,5.009,1573.695,21.340,7.116,3.736,0.000,0.000,0.187,0.661,0.152,162.585,189.000,11.927,,
2567-12-09 17:15:03 - 2567-12-09 17:26:56,160.512,Running,2.975,712.914,9.930,4.964,3.875,0.000,0.000,0.000,0.081,0.919,186.285,195.000,14.999,,
2567-12-09 17:33:35 - 2567-12-09 17:36:22,39.522,Running,0.751,167.023,5.600,4.854,3.916,0.000,0.000,0.088,0.088,0.824,181.588,189.000,16.540,,
2567-12-13 17:10:32 - 2567-12-13 18:13:37,699.419,Running,13.037,3775.728,17.670,4.223,2.975,0.000,0.005,0.162,0.833,0.000,161.891,173.000,12.461,,
2567-12-14 16:41:48 - 2567-12-14 17:39:00,629.424,Running,10.012,3432.204,7.690,7.211,4.608,0.003,0.028,0.340,0.629,0.000,158.295,174.000,12.322,,
2567-12-15 16:34:25 - 2567-12-15 17:01:30,273.175,Running,5.007,1625.348,9.760,6.632,3.717,0.000,0.075,0.378,0.547,0.000,153.000,167.000,11.427,,
2567-12-15 17:07:44 - 2567-12-15 17:25:44,188.420,Running,3.513,833.726,7.000,5.268,3.799,0.000,0.005,0.142,0.104,0.749,179.318,196.000,14.926,,
2567-12-15 17:32:11 - 2567-12-15 17:33:48,22.308,Running,0.393,96.844,2.020,4.903,3.807,0.000,0.000,0.250,0.000,0.750,172.500,183.000,15.783,,
2567-12-15 17:40:35 - 2567-12-15 17:44:41,55.517,Running,1.015,246.102,2.600,7.027,4.744,0.000,0.000,0.045,0.045,0.910,184.182,189.000,15.156,,
2567-12-17 16:53:24 - 2567-12-17 17:22:57,281.728,Running,5.182,1772.971,5.310,6.387,3.021,0.000,0.020,0.869,0.111,0.000,148.574,159.000,10.864,,
2567-12-17 17:34:04 - 2567-12-17 17:41:17,108.913,Running,2.016,429.225,2.000,4.100,3.057,0.000,0.000,0.000,0.238,0.762,182.048,192.000,16.767,,
2567-12-17 17:51:20 - 2567-12-17 17:58:48,112.791,Running,2.022,440.802,9.730,4.161,3.166,0.000,0.000,0.034,0.067,0.899,183.674,191.000,16.792,,
2567-12-17 18:09:07 - 2567-12-17 18:16:23,111.482,Running,2.020,433.399,11.500,4.135,2.913,0.000,0.000,0.023,0.080,0.897,184.264,194.000,16.937,,
2567-12-17 18:25:38 - 2567-12-17 18:32:59,113.927,Running,2.016,434.521,8.210,4.146,3.061,0.000,0.000,0.023,0.080,0.897,182.782,189.000,17.015,,
2567-12-17 18:43:16 - 2567-12-17 18:50:54,111.799,Running,2.013,454.775,4.880,4.235,2.874,0.000,0.000,0.044,0.044,0.912,183.077,194.000,16.284,,
2567-12-18 17:44:51 - 2567-12-18 18:10:52,153.745,Running,3.004,1481.217,2.820,6.530,2.636,0.212,0.788,0.000,0.000,0.000,118.266,130.000,7.071,,
2567-12-20 17:09:01 - 2567-12-20 17:52:00,313.054,Running,5.838,1811.779,17.070,7.813,3.725,0.206,0.104,0.388,0.302,0.000,139.304,166.000,10.411,44.000,28.000
2567-12-20 17:56:55 - 2567-12-20 18:00:45,56.502,Running,1.014,223.583,,4.965,3.689,0.000,0.000,0.000,0.105,0.895,183.737,188.000,16.552,,
2567-12-20 18:03:12 - 2567-12-20 18:05:23,31.460,Running,0.558,131.086,,7.306,3.807,0.000,0.053,0.053,0.211,0.683,174.684,186.000,16.732,,
2567-12-21 16:53:47 - 2567-12-21 17:51:47,643.331,Running,12.010,3479.677,13.470,5.227,3.668,0.002,0.000,0.056,0.403,0.539,173.276,187.000,12.420,,
2567-12-22 16:50:37 - 2567-12-22 17:18:30,263.740,Running,5.018,1555.879,16.210,5.711,3.720,0.034,0.042,0.659,0.164,0.101,151.756,186.000,10.611,,
