Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Elevation: Ascended(m),Elevation: Maximum(m),Elevation: Minimum(m),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Weather: Humidity(%),Weather: Temperature(degC)
2567-11-07 17:11:19 - 2567-11-07 17:15:24,56.454,Running,1.013,237.155,2.350,4.948,4.052,0.000,0.021,0.042,0.271,0.666,173.062,182.000,15.878,,
2567-11-07 17:19:45 - 2567-11-07 17:23:51,54.955,Running,1.021,240.667,,5.026,4.039,0.000,0.042,0.042,0.292,0.624,173.312,181.000,15.267,,
2567-11-07 17:28:57 - 2567-11-07 17:32:58,55.533,Running,1.013,233.340,2.000,5.059,4.067,0.000,0.021,0.062,0.146,0.771,177.875,189.000,15.837,,
2567-11-07 17:39:24 - 2567-11-07 17:43:32,56.267,Running,1.043,247.227,2.000,5.196,4.065,0.000,0.022,0.067,0.000,0.911,182.756,190.000,15.707,,
2567-11-07 17:51:25 - 2567-11-07 17:55:32,56.450,Running,1.014,240.395,,5.082,3.983,0.000,0.000,0.000,0.000,1.000,183.500,184.000,15.623,,
2567-11-07 18:03:16 - 2567-11-07 18:07:07,58.150,Running,1.014,228.727,,5.010,3.999,0.000,0.000,0.000,0.000,1.000,202.700,210.000,16.982,,
2567-11-08 06:36:40 - 2567-11-08 07:43:18,353.034,Running,7.003,3197.436,2.840,9.666,4.413,0.256,0.594,0.150,0.000,0.000,119.114,141.000,6.536,71.000,27.000
2567-11-08 16:47:22 - 2567-11-08 17:29:38,311.826,Running,6.110,2227.662,2.000,7.154,3.866,0.055,0.210,0.612,0.123,0.000,140.432,165.000,9.818,,
2567-11-09 16:59:12 - 2567-11-09 17:27:27,308.153,Running,5.002,1679.863,0.260,7.168,4.403,0.006,0.105,0.375,0.514,0.000,154.129,174.000,12.312,,
2567-11-09 17:33:29 - 2567-11-09 17:43:04,114.856,Running,1.907,574.948,,7.164,4.545,0.000,0.000,0.097,0.859,0.044,168.115,177.000,13.500,,
2567-11-10 17:14:01 - 2567-11-10 17:53:52,449.468,Running,7.017,2371.952,2.530,7.231,4.311,0.010,0.082,0.264,0.625,0.019,156.920,176.000,12.679,,
2567-11-10 17:58:36 - 2567-11-10 18:02:44,56.425,Running,0.998,242.143,,7.121,5.304,0.000,0.000,0.087,0.000,0.913,182.826,191.000,15.466,,
2567-11-14 10:37:56 - 2567-11-14 10:48:40,126.562,Running (Indoor),1.850,635.762,,,,0.000,0.008,0.271,0.457,0.264,163.186,181.000,13.263,58.000,33.000
2567-11-14 10:55:08 - 2567-11-14 10:59:31,55.689,Running (Indoor),1.026,261.047,,,,0.000,0.000,0.000,0.118,0.882,180.373,186.000,14.324,57.000,33.000
2567-11-19 17:05:53 - 2567-11-19 17:08:02,12.939,Running,0.211,90.930,,7.152,6.262,0.240,0.760,0.000,0.000,0.000,120.320,128.000,10.007,,
2567-11-20 17:23:25 - 2567-11-20 17:53:29,330.324,Running,5.112,1770.658,8.690,7.862,4.558,0.000,0.092,0.435,0.281,0.192,155.493,180.000,12.360,,
2567-11-20 17:59:09 - 2567-11-20 18:05:31,68.159,Running,1.003,374.730,5.780,7.095,5.250,0.000,0.091,0.286,0.623,0.000,156.506,168.000,12.327,,
2567-11-21 16:58:16 - 2567-11-21 17:57:37,642.564,Running,10.139,3559.074,6.730,7.166,4.642,0.008,0.171,0.315,0.334,0.172,155.520,190.000,12.158,,
2567-11-22 06:26:31 - 2567-11-22 07:08:05,449.007,Running,7.009,2492.813,3.460,7.867,4.662,0.012,0.175,0.497,0.310,0.006,148.646,177.000,11.870,,
2567-11-22 16:49:25 - 2567-11-22 17:06:29,40.466,Running,0.695,295.942,0.940,8.033,5.245,0.710,0.256,0.034,0.000,0.000,102.094,138.000,8.736,56.000,32.000
2567-11-26 17:14:48 - 2567-11-26 18:08:36,683.426,Running,10.031,3227.944,12.770,9.343,4.506,0.002,0.011,0.070,0.470,0.447,172.793,192.000,14.034,,
2567-11-27 17:35:53 - 2567-11-27 18:57:53,944.635,Running,15.015,4652.998,5.370,6.924,2.793,0.003,0.062,0.249,0.396,0.290,164.021,193.000,13.846,,
2567-11-29 16:59:09 - 2567-11-29 18:00:05,749.244,Running,12.636,3656.279,18.890,7.016,3.687,0.001,0.006,0.051,0.304,0.638,176.487,189.000,13.595,,
2567-11-30 06:41:30 - 2567-11-30 07:05:49,235.387,Running,4.505,1459.527,2.010,5.201,3.747,0.000,0.175,0.803,0.022,0.000,141.935,158.000,11.005,,
2567-11-30 16:43:02 - 2567-11-30 18:12:45,1028.868,Running,17.255,5369.919,12.510,7.146,4.714,0.001,0.017,0.396,0.507,0.079,158.676,189.000,12.825,,
