Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Elevation: Ascended(m),Elevation: Maximum(m),Elevation: Minimum(m),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Weather: Humidity(%),Weather: Temperature(degC)
2567-11-01 06:21:19 - 2567-11-01 07:02:05,393.277,Running,7.075,2432.138,,7.312,4.683,0.018,0.133,0.313,0.325,0.211,156.213,189.000,10.999,,
2567-11-01 16:39:36 - 2567-11-01 17:47:53,695.850,Running,11.015,3791.085,24.290,9.307,4.504,0.016,0.026,0.173,0.288,0.497,172.116,200.000,11.914,82.000,28.000
2567-11-02 06:23:30 - 2567-11-02 07:07:26,425.504,Running,7.013,2598.141,,8.743,3.407,0.006,0.084,0.243,0.663,0.004,157.650,176.000,11.085,,
2567-11-02 16:35:25 - 2567-11-02 18:01:17,884.523,Running,15.029,5152.378,9.800,7.831,4.506,0.000,0.038,0.183,0.413,0.366,167.350,195.000,11.605,,
2567-11-04 16:31:14 - 2567-11-04 17:30:46,559.908,Running,10.004,3275.073,0.250,7.255,4.459,0.000,0.053,0.325,0.261,0.361,167.492,200.000,11.424,,
2567-11-04 17:42:10 - 2567-11-04 17:46:15,52.928,Running,1.019,243.261,,5.112,3.890,0.000,0.000,0.000,0.122,0.878,184.714,193.000,14.977,,
2567-11-05 06:20:58 - 2567-11-05 07:13:17,364.468,Running,7.007,2705.748,,7.248,4.534,0.120,0.208,0.640,0.032,0.000,136.744,158.000,8.186,77.000,26.000
2567-11-05 17:03:07 - 2567-11-05 18:19:26,691.485,Running,13.008,4282.267,,7.701,4.508,0.023,0.170,0.164,0.328,0.315,160.142,190.000,10.615,,
2567-11-06 06:25:57 - 2567-11-06 07:16:17,384.446,Running,7.015,3016.731,,7.886,4.663,0.003,0.368,0.629,0.000,0.000,136.615,150.000,8.943,,
2567-11-06 16:49:53 - 2567-11-06 18:17:14,696.580,Running,13.005,5216.992,,7.206,4.417,0.060,0.120,0.391,0.429,0.000,148.552,168.000,9.288,,
2567-11-07 06:27:19 - 2567-11-07 07:10:50,361.138,Running,7.015,2598.852,,8.669,4.697,0.015,0.204,0.631,0.150,0.000,143.303,160.000,9.648,,
2567-11-07 16:29:42 - 2567-11-07 16:47:56,150.496,Running,3.023,1092.001,0.590,5.126,3.805,0.000,0.137,0.800,0.063,0.000,140.468,166.000,9.640,,
2567-11-07 17:02:32 - 2567-11-07 17:06:37,54.334,Running,1.028,240.712,2.030,5.130,3.923,0.000,0.000,0.083,0.396,0.521,172.542,183.000,15.490,,
