Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Elevation: Ascended(m),Elevation: Maximum(m),Elevation: Minimum(m),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Weather: Humidity(%),Weather: Temperature(degC)
2568-01-05 18:01:44 - 2568-01-05 18:03:17,24.189,Running,0.420,87.516,,5.185,3.998,0.000,0.000,0.000,1.000,0.000,168.000,169.000,18.476,,
2568-01-05 18:05:31 - 2568-01-05 18:07:00,21.272,Running,0.440,88.734,,7.784,4.145,0.000,0.000,0.000,0.000,1.000,186.800,192.000,18.417,,
2568-01-05 18:09:10 - 2568-01-05 18:10:38,19.794,Running,0.422,83.458,,4.866,3.934,0.000,0.000,0.000,0.000,1.000,192.500,193.000,17.719,,
2568-01-05 18:13:35 - 2568-01-05 18:15:07,19.829,Running,0.412,88.005,,8.386,4.695,0.000,0.000,0.000,0.000,1.000,189.143,192.000,16.255,,
2568-01-05 18:19:00 - 2568-01-05 18:20:25,22.075,Running,0.428,85.092,2.080,7.653,4.222,0.000,0.000,0.000,0.000,1.000,190.750,193.000,19.303,,
2568-01-06 17:00:39 - 2568-01-06 17:29:37,295.542,Running,5.003,1735.862,22.790,5.050,3.694,0.000,0.000,0.299,0.701,0.000,158.410,172.000,11.344,,
2568-01-07 17:12:32 - 2568-01-07 17:42:33,270.404,Running,5.051,1730.053,4.830,4.342,2.994,0.006,0.075,0.783,0.136,0.000,147.745,172.000,10.390,,
2568-01-07 17:54:57 - 2568-01-07 17:59:33,66.075,Running,1.228,267.096,,3.959,2.741,0.000,0.000,0.000,0.163,0.837,179.633,186.000,16.427,,
2568-01-07 18:04:06 - 2568-01-07 18:08:37,66.171,Running,1.234,268.409,,3.945,2.724,0.000,0.000,0.062,0.125,0.813,180.406,188.000,16.571,,
2568-01-07 18:13:10 - 2568-01-07 18:17:46,68.903,Running,1.209,273.581,,4.469,3.024,0.000,0.000,0.059,0.118,0.823,181.000,190.000,16.936,,
2568-01-07 18:23:04 - 2568-01-07 18:27:41,63.508,Running,1.256,270.848,,3.995,2.723,0.000,0.000,0.045,0.023,0.932,184.568,191.000,15.603,,
2568-01-07 18:38:30 - 2568-01-07 18:43:09,68.423,Running,1.309,278.567,,4.023,3.160,0.000,0.000,0.033,0.100,0.867,183.133,190.000,16.530,,
2568-01-07 18:47:52 - 2568-01-07 18:52:29,69.274,Running,1.305,271.121,,6.769,2.939,0.000,0.000,0.000,0.625,0.375,174.625,177.000,16.992,,
2568-01-07 18:57:32 - 2568-01-07 19:02:09,67.947,Running,1.283,270.249,,4.019,3.042,0.000,0.000,1.000,0.000,0.000,140.500,141.000,16.723,,
2568-01-07 19:09:43 - 2568-01-07 19:14:18,68.233,Running,1.260,266.223,,4.040,2.817,0.000,0.000,0.000,0.133,0.867,186.467,197.000,17.054,,
2568-01-08 17:52:18 - 2568-01-08 18:29:26,335.389,Running (Indoor),6.205,2227.883,,,,0.000,0.076,0.924,0.000,0.000,142.564,152.000,10.350,37.000,31.000
2568-01-10 17:05:10 - 2568-01-10 17:25:45,213.644,Running,4.011,1235.344,21.150,7.156,2.874,0.000,0.110,0.657,0.110,0.123,150.407,187.000,11.461,,
2568-01-10 17:37:34 - 2568-01-10 17:58:19,268.809,Running,5.011,1244.687,7.930,7.851,4.147,0.000,0.000,0.012,0.048,0.940,187.341,196.000,14.366,,
2568-01-10 18:07:08 - 2568-01-10 18:11:31,66.954,Running,1.289,263.299,2.000,4.082,3.005,0.000,0.000,0.059,0.059,0.882,182.882,189.000,17.436,,
2568-01-11 16:37:21 - 2568-01-11 17:01:13,214.718,Running,4.104,1413.557,11.660,7.919,3.674,0.000,0.189,0.801,0.010,0.000,142.286,168.000,10.373,,
2568-01-11 17:03:10 - 2568-01-11 17:07:54,20.876,Running,0.415,283.660,,7.167,5.316,0.689,0.311,0.000,0.000,0.000,113.600,121.000,5.387,,
2568-01-11 17:20:25 - 2568-01-11 17:21:54,18.738,Running,0.420,88.835,2.060,6.966,5.386,0.000,0.125,0.062,0.312,0.501,167.062,181.000,16.430,,
2568-01-11 17:23:16 - 2568-01-11 17:24:45,21.106,Running,0.422,88.794,3.550,6.955,5.687,0.000,0.000,0.000,0.000,1.000,182.000,182.000,17.623,,
2568-01-11 17:26:19 - 2568-01-11 17:27:48,22.977,Running,0.419,88.744,4.120,8.529,6.238,0.000,0.000,0.500,0.500,0.000,155.000,162.000,19.163,,
2568-01-11 17:29:20 - 2568-01-11 17:30:45,20.509,Running,0.390,85.543,4.680,9.284,5.672,0.000,0.000,1.000,0.000,0.000,151.500,152.000,17.685,,
2568-01-11 17:33:11 - 2568-01-11 17:34:37,22.753,Running,0.415,86.201,4.030,8.448,6.241,0.000,0.000,0.800,0.200,0.000,149.000,156.000,19.006,,
2568-01-11 17:37:00 - 2568-01-11 17:38:26,20.821,Running,0.416,85.856,,9.248,5.253,0.000,0.000,0.000,0.000,1.000,188.800,192.000,18.204,,
2568-01-11 17:41:00 - 2568-01-11 17:42:27,20.955,Running,0.417,87.177,2.030,8.655,6.233,,,,,,,,17.629,,
2568-01-11 17:45:13 - 2568-01-11 17:46:41,19.689,Running,0.425,88.004,,9.463,5.482,0.000,0.000,0.000,0.000,1.000,190.200,193.000,17.040,,
2568-01-11 17:52:00 - 2568-01-11 17:53:28,20.577,Running,0.416,88.042,3.930,7.053,5.408,0.000,0.200,0.300,0.500,0.000,152.400,173.000,17.895,,
2568-01-11 17:56:30 - 2568-01-11 17:58:00,18.729,Running,0.411,89.373,,9.346,5.482,0.000,0.000,0.000,0.000,1.000,191.750,192.000,16.400,,
2568-01-11 18:00:33 - 2568-01-11 18:02:01,23.045,Running,0.416,87.485,2.090,8.409,6.227,0.000,0.000,0.333,0.000,0.667,186.500,210.000,19.187,,
2568-01-11 18:04:37 - 2568-01-11 18:06:08,21.205,Running,0.417,91.552,,9.367,5.548,0.000,0.000,0.000,0.000,1.000,193.200,196.000,16.770,,
2568-01-11 18:08:15 - 2568-01-11 18:09:43,18.826,Running,0.415,87.617,,9.497,6.119,,,,,,,,16.546,,
2568-01-11 18:12:27 - 2568-01-11 18:13:56,20.522,Running,0.425,89.568,,9.493,6.082,0.000,0.000,0.000,0.000,1.000,188.286,192.000,17.123,,
2568-01-11 18:16:38 - 2568-01-11 18:18:08,21.563,Running,0.407,89.465,,9.533,6.003,,,,,,,,17.523,,
2568-01-11 18:21:09 - 2568-01-11 18:22:39,22.299,Running,0.417,90.514,,9.274,5.383,0.000,0.000,0.000,0.000,1.000,188.000,188.000,18.050,,
2568-01-12 16:44:50 - 2568-01-12 16:59:01,140.292,Running,2.505,850.629,25.370,7.497,3.618,0.000,0.147,0.839,0.014,0.000,143.720,164.000,11.215,,
2568-01-14 17:14:44 - 2568-01-14 17:39:37,256.193,Running,5.015,1493.635,6.060,6.431,2.930,0.000,0.085,0.685,0.125,0.105,150.166,184.000,11.680,,
2568-01-14 17:49:58 - 2568-01-14 17:57:28,115.215,Running,2.159,450.737,2.530,4.038,3.090,0.000,0.000,0.033,0.144,0.823,180.344,189.000,16.950,,
2568-01-14 18:04:08 - 2568-01-14 18:11:47,116.303,Running,2.167,458.332,,4.167,3.078,0.000,0.022,0.011,0.088,0.879,182.670,190.000,16.932,,
2568-01-14 18:20:34 - 2568-01-14 18:28:11,118.679,Running,2.207,456.336,3.000,4.089,3.121,0.000,0.011,0.033,0.099,0.857,181.099,190.000,17.238,,
2568-01-14 18:36:44 - 2568-01-14 18:44:20,117.679,Running,2.173,455.755,5.140,4.092,2.955,0.000,0.011,0.011,0.023,0.955,182.943,190.000,17.057,,
2568-01-14 18:55:08 - 2568-01-14 19:02:45,113.920,Running,2.166,456.620,,4.118,2.987,0.000,0.000,0.027,0.014,0.959,186.890,201.000,16.558,,
2568-01-15 17:42:37 - 2568-01-15 18:11:42,291.886,Running (Indoor),5.379,1745.199,,,,0.006,0.510,0.484,0.000,0.000,134.413,146.000,11.357,44.000,31.000
2568-01-17 16:34:54 - 2568-01-17 17:05:39,273.841,Running,5.024,1845.632,18.090,5.138,3.590,0.000,0.177,0.823,0.000,0.000,140.084,153.000,10.209,,
2568-01-17 17:22:31 - 2568-01-17 17:33:37,165.311,Running,3.027,666.595,8.500,7.656,3.881,0.000,0.000,0.000,0.176,0.824,178.806,186.000,16.380,,
2568-01-19 04:00:03 - 2568-01-19 04:20:32,207.021,Running,2.719,1151.054,19.850,9.922,5.303,0.000,0.038,0.308,0.600,0.054,158.162,184.000,12.599,,
2568-01-19 04:59:42 - 2568-01-19 05:19:10,272.249,Running,4.817,1167.188,20.150,233.198,5.306,0.000,0.000,0.000,0.000,1.000,191.799,198.000,15.427,,
2568-01-19 16:43:05 - 2568-01-19 17:00:38,141.503,Running,2.612,1053.038,16.800,7.035,3.591,0.053,0.614,0.333,0.000,0.000,129.649,142.000,9.404,,
2568-01-26 07:40:55 - 2568-01-26 08:25:40,494.928,Running,9.027,2685.000,,,,0.000,0.000,0.250,0.250,0.500,173.250,190.000,,,
2568-01-27 17:17:57 - 2568-01-27 18:19:35,828.092,Running,11.498,3698.000,,,,0.000,0.167,0.333,0.500,0.000,152.667,168.000,,,
2568-01-28 07:36:53 - 2568-01-28 08:12:14,423.424,Running,6.000,2121.000,,,,0.000,0.250,0.500,0.250,0.000,149.000,160.000,,,
2568-01-28 16:59:07 - 2568-01-28 17:20:04,260.573,Running,4.001,1257.000,,,,0.333,0.000,0.334,0.333,0.000,140.333,163.000,,,
2568-01-28 17:28:01 - 2568-01-28 17:47:56,341.323,Running,5.005,1195.000,,,,0.000,0.000,0.500,0.500,0.000,153.000,170.000,,,
2568-01-29 08:04:05 - 2568-01-29 08:35:20,347.510,Running,5.000,1875.000,,,,0.000,0.333,0.667,0.000,0.000,139.667,152.000,,,
2568-01-29 16:54:25 - 2568-01-29 17:05:32,122.000,Running,1.996,667.000,,,,0.000,0.000,1.000,0.000,0.000,137.000,137.000,,,
2568-01-29 17:13:34 - 2568-01-29 17:16:22,46.195,Running,0.746,168.000,,,,,,,,,,,,,
2568-01-29 17:24:37 - 2568-01-29 17:34:08,127.318,Running,1.921,571.000,,,,0.000,1.000,0.000,0.000,0.000,135.000,135.000,,,
2568-01-31 17:15:49 - 2568-01-31 17:46:06,320.896,Running,5.267,1817.000,,,,0.333,0.000,0.667,0.000,0.000,129.333,145.000,,,
