Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Elevation: Ascended(m),Elevation: Maximum(m),Elevation: Minimum(m),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Weather: Humidity(%),Weather: Temperature(degC)
2568-01-02 17:24:07 - 2568-01-02 17:53:05,272.313,Running,5.015,1696.895,16.750,5.348,3.677,0.003,0.071,0.686,0.240,0.000,149.870,168.000,10.674,,
2568-01-03 17:29:47 - 2568-01-03 17:57:13,292.520,Running,5.008,1645.791,7.870,7.713,4.612,0.000,0.000,0.104,0.575,0.321,170.340,184.000,12.001,,
2568-01-04 16:51:03 - 2568-01-04 17:18:14,281.371,Running,5.022,1631.400,25.170,7.454,3.707,0.000,0.045,0.172,0.657,0.126,162.197,180.000,11.674,,
2568-01-04 17:26:48 - 2568-01-04 17:28:18,23.397,Running,0.440,89.784,2.000,5.403,3.987,0.000,0.500,0.000,0.000,0.500,158.000,182.000,19.152,,
2568-01-04 17:30:14 - 2568-01-04 17:31:45,22.471,Running,0.416,83.886,2.320,4.900,4.009,0.000,0.000,0.000,0.000,1.000,190.750,196.000,17.567,,
2568-01-04 17:33:48 - 2568-01-04 17:35:28,21.642,Running,0.428,90.691,2.140,7.137,4.152,0.000,0.000,0.000,0.091,0.909,179.727,190.000,16.286,,
2568-01-04 17:38:12 - 2568-01-04 17:39:49,21.227,Running,0.421,87.310,,7.314,3.987,0.000,0.000,0.091,0.182,0.727,179.455,195.000,16.661,,
2568-01-04 17:44:29 - 2568-01-04 17:46:06,21.271,Running,0.418,86.983,,7.660,3.980,0.000,0.000,0.000,0.000,1.000,191.417,194.000,16.732,,
2568-01-04 17:49:07 - 2568-01-04 17:50:37,21.590,Running,0.420,88.580,,7.223,4.234,0.000,0.000,0.000,0.000,1.000,187.000,190.000,17.334,,
2568-01-05 16:57:00 - 2568-01-05 17:50:48,597.085,Running,10.032,3228.118,11.480,7.228,3.659,0.000,0.022,0.128,0.456,0.394,169.900,194.000,12.422,,
