Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Elevation: Ascended(m),Elevation: Maximum(m),Elevation: Minimum(m),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Weather: Humidity(%),Weather: Temperature(degC)
2567-03-02 17:55:38 - 2567-03-02 18:25:47,342.702,Running,6.423,1808.058,,5.112,3.757,0.000,0.000,0.000,0.414,0.586,175.753,185.000,12.580,,
2567-03-03 17:42:37 - 2567-03-03 18:08:39,268.004,Running,5.034,1331.718,0.250,5.261,3.847,0.000,0.000,0.041,0.386,0.573,177.061,196.000,13.392,,
2567-03-05 18:35:04 - 2567-03-05 19:09:43,383.170,Running (Indoor),7.054,2045.170,,,,0.000,0.000,0.055,0.467,0.478,173.711,189.000,12.534,57.000,32.000
2567-03-06 18:17:35 - 2567-03-06 18:50:43,384.148,Running (Indoor),7.043,1988.772,,,,0.000,0.000,0.008,0.949,0.043,169.310,178.000,12.924,56.000,32.000
2567-03-09 17:59:04 - 2567-03-09 18:31:08,375.394,Running,7.033,1886.370,,5.339,3.811,0.000,0.000,0.000,0.406,0.594,175.895,191.000,13.244,,
2567-03-10 17:57:45 - 2567-03-10 18:29:11,377.391,Running,7.045,1875.851,,5.393,3.863,0.000,0.000,0.003,0.218,0.779,181.804,192.000,13.381,,
2567-03-12 18:27:01 - 2567-03-12 19:05:58,382.394,Running (Indoor),7.029,2069.223,,,,0.070,0.029,0.132,0.483,0.286,163.540,185.000,12.157,69.000,31.000
2567-03-13 18:19:25 - 2567-03-13 18:57:36,378.653,Running (Indoor),7.019,2106.406,,,,0.000,0.045,0.130,0.574,0.251,164.913,184.000,12.004,65.000,31.000
2567-03-15 18:15:23 - 2567-03-15 18:48:50,376.427,Running,7.038,1959.521,,5.569,3.702,0.000,0.000,0.000,0.249,0.751,178.816,186.000,12.810,,
